BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
1.870000	-2.481348	1.979371	568.423187	568.432049
1.875000	-2.753021	1.631099	567.909172	567.918187
1.880000	-2.870813	1.437707	566.112030	566.121135
1.885000	-2.870217	1.514733	566.710373	566.719666
1.890000	-1.974388	2.251440	570.818642	570.826496
1.895000	-2.364152	2.018297	570.049667	570.058143
1.900000	-2.520414	1.592999	568.252403	568.260226
1.905000	-3.181551	1.167700	566.114182	566.124326
1.910000	-2.402621	2.096148	569.023560	569.032493
1.915000	-2.675486	1.787216	568.337997	568.347105
1.920000	-3.414158	1.438533	565.943161	565.955287
1.925000	-2.947753	2.096148	570.478683	570.490150
1.930000	-3.064652	2.405495	570.308762	570.322069
1.935000	-3.181253	2.057222	569.198174	569.210781
1.940000	-3.103420	2.056810	568.685318	568.697505
1.945000	-3.064652	2.211277	569.539261	569.551799
1.950000	-3.648552	1.631512	566.116005	566.130113
1.955000	-3.765153	1.631099	566.631020	566.645876
1.960000	-3.259385	2.250203	569.626175	569.639944
1.965000	-2.831152	2.521447	571.507576	571.520151
1.970000	-3.025289	2.482934	570.224991	570.238422
1.975000	-2.947455	2.753352	570.822151	570.836401
1.980000	-3.375986	2.018709	568.768929	568.782530
1.985000	-3.532248	1.901932	566.714279	566.728479
1.990000	-3.337516	2.134662	569.793457	569.807230
1.995000	-3.687022	1.437294	566.713730	566.727546
2.000000	-3.064652	2.134249	570.993698	571.005911
2.005000	-3.375986	1.515559	567.399002	567.411069
2.010000	-3.609487	1.321754	567.141487	567.154513
2.015000	-3.064056	1.592999	569.537285	569.547755
2.020000	-3.532248	0.819016	566.370300	566.381907
2.025000	-3.920820	0.509257	565.001236	565.015070
2.030000	-2.948349	1.477046	570.563820	570.573349
2.035000	-3.531355	0.935795	567.310631	567.322393
2.040000	-3.220021	0.934556	568.081833	568.091727
2.045000	-3.064056	1.012821	569.106262	569.115412
2.050000	-2.947753	1.283652	569.534401	569.543476
2.055000	-3.493183	0.470331	565.853554	565.864531
2.060000	-3.180956	0.780090	567.308426	567.317880
2.065000	-3.259087	0.431406	565.855232	565.864782
2.070000	-3.297854	0.819427	566.709274	566.719462
2.075000	-2.713955	1.051334	568.761444	568.768891
2.080000	-2.869325	1.012821	568.760712	568.768851
2.085000	-2.830258	1.012408	568.590462	568.598407
