"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.533625276E0,-1.450050473E0,9.592227936E0,6.969096065E-1
6.550291942E0,-1.344168067E0,9.597611427E0,7.172485590E-1
6.566958608E0,-1.364507079E0,9.731011391E0,7.692924738E-1
6.583625274E0,-1.474576950E0,9.735198975E0,6.921239495E-1
6.600291940E0,-1.508076429E0,9.716055870E0,6.969096065E-1
6.616958606E0,-1.512862086E0,9.706484795E0,7.010970116E-1
6.633625272E0,-1.488335729E0,9.620942116E0,6.873382926E-1
6.650291938E0,-1.411765337E0,9.707083702E0,7.310073376E-1
6.666958604E0,-1.421336651E0,9.716654778E0,7.022934556E-1
6.683625270E0,-1.421336651E0,9.683155060E0,6.831508875E-1
6.700291936E0,-1.426122308E0,9.611370087E0,6.927221417E-1
